,1a,2a,3a,4a,5a,1b,2b,3b,4b,5b
1,-2.717674308116507786e-01,1.170040503781666352e-02,1.137725163718499161e-01,-4.907927691873739673e-02,5.592239971313141267e-02,1.092473660290693704e-03,3.064021295419619428e-03,-1.812468184859208076e-01,-2.315382481100206752e-02,1.987596354263747589e-01
2,1.812100122612402553e-01,-5.344611494729553658e-02,1.094349860004306674e-02,-6.876255265043050569e-02,3.060946703640568881e-02,-2.210046182641284274e-02,-6.915175025973159528e-02,-2.491095451272431482e-01,3.093235112222185446e-02,1.770754719893432028e-01
3,-8.132867613132764573e-02,3.197749381102148181e-02,3.939923020063558490e-02,7.179989593114002866e-02,1.004655921401885199e-01,-6.016694928571404005e-02,2.448831409007984350e-02,-1.856840730219682378e-01,3.690212065845688283e-03,1.610512280400896445e-01
4,-4.790476092250989248e-02,4.386247261293943489e-02,5.793762413850294529e-02,-5.710174089131256348e-04,1.112022501240939043e-02,-4.974779490338515631e-02,2.695117674733867319e-01,-1.553137846429878677e-01,-7.342091176255380325e-03,1.759935588600365641e-01
5,3.080861130780679358e-02,1.334845921244241784e-01,-1.292534430137284862e-02,3.269238919527451409e-02,-4.045668399495692263e-02,4.762818623221197478e-02,5.094832707018998041e-02,-2.359682925108034721e-02,-4.752625363754217624e-02,4.989518968540695987e-02
6,1.429697475560642583e-01,2.118056315942334900e-03,5.687325640502739754e-02,-1.345333540760772495e-01,-5.203497169474050749e-02,7.182411662629417659e-02,1.506567817805284926e-01,-1.276976650632440369e-01,-6.891722584604262347e-02,1.354694574293633935e-01
7,1.218263123180563789e-01,9.482995246148859247e-02,1.733219276036951362e-02,-6.371762425250125650e-02,-1.279353145241736434e-02,5.919251680980466834e-02,4.558992619382137845e-02,-1.490993863680196152e-01,-3.943244880450127998e-03,1.335389040995554888e-02
8,1.204618282140960395e-01,1.142568651415027670e-01,8.853112523524120370e-02,-1.651624446637773858e-01,1.393955519493089712e-02,6.824498037627219071e-03,-1.428182955475243987e-01,-2.787316044185425556e-01,-3.340046966477810964e-02,1.873082916399625708e-01
9,3.545223120215099111e-02,-1.118262646858164261e-01,2.627536316735389760e-02,-5.530369618898063611e-02,8.152391783110540802e-02,-2.666918685954290658e-02,-2.103883503148967216e-01,-1.404370712814604905e-01,-2.462542197535903116e-02,3.635555915487695411e-01
10,-8.337951593163181463e-02,-7.600731570366235645e-02,6.338208126619121474e-02,4.401508361228605171e-02,1.717045360742647242e-02,-1.155779081052491636e-02,1.616699998805853355e-01,-9.774420410489166600e-02,-4.626127614996766724e-02,4.154458624366919733e-02
11,-4.147904272915291235e-02,6.148500322605235380e-03,8.366092217227208416e-02,-1.316798462631599276e-02,-2.463987153627025112e-02,-1.374548768038988400e-02,3.177574669773658989e-01,-1.390858174777077627e-01,7.819577628496270083e-03,9.960313203659158787e-02
12,-7.395790815202210600e-02,1.987110341758136500e-01,1.063780108997756518e-01,-8.481421881890301162e-02,-1.856079785141010602e-02,8.489274562542159508e-02,4.913777230960159059e-02,-3.218661355575559990e-01,1.235794412974865197e-02,3.063152075108637185e-01
13,2.711468987750165205e-02,1.101809087458819336e-01,1.051429935803877280e-01,-7.557755241775142296e-02,1.709041194663624835e-02,1.535239665845818113e-02,1.791279646192010522e-01,-2.215714144625142434e-01,3.462495666472244910e-02,1.445954823301042191e-01
14,4.659271884508758843e-02,6.876014623026119321e-02,1.047571478636445952e-01,-1.587755651415526104e-02,-3.576078964187107828e-02,1.758804217012413518e-02,3.115945300664390571e-01,-2.277662299697229831e-01,6.699814481903229590e-02,9.074632651204798950e-02
15,9.242706460652413969e-02,1.962736839832781577e-01,1.274412346893455394e-01,-1.156929526087599885e-01,-2.608703962059791964e-02,-4.806234747170311239e-03,8.827172797866636444e-02,-3.214162169971541694e-01,8.114667197283326194e-02,1.125603939397141207e-01
